Timestamp,Usia,Gender,Lokasi Pengunjung,Apakah Anda pengguna sepatu Futsal merek Ortuseight?,Apa pertimbangan Anda ketika ingin menggunakan sepatu Futsal Ortuseight? (boleh memilih lebih dari satu jawaban),Column1,Column2,Column3,H1,H2,H3,H4,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP9,KP10,KP11,KP12,KP13,KP14,KP15,CM1,CM2,CM3,CM4,CM5,KPB1,KPB2,KPB3,KPB4,KPB5,KPB6
11/29/2021 19.58.51,26-35 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Citra Merek yang positif di masyarakat,,,4,5,3,4,4,4,4,4,3,3,4,4,5,5,4,5,5,3,3,4,4,2,4,4,3,2,3,3,3,4
11/29/2021 21.20.29,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/30/2021 14.45.06,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,5,5,4,5,5,5,5,4,4,4,4,5,4,5,4,5,5,4,4,4,4,5,4,4,4,5,4,5,5,5
12/1/2021 1.33.05,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,Nyman di bentuk kaki saya,5,4,5,4,4,4,4,4,3,4,4,4,4,4,2,4,4,2,3,4,4,3,3,3,4,5,4,4,4,4
12/1/2021 3.28.32,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,4,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4
12/1/2021 3.35.57,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12/1/2021 15.48.21,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,4,4,5,5,5,4,5,4,4,4,5,4,4,3,4,5,3,5,5,4,4,3,4,5,4,5,5,5,4
12/7/2021 19.28.47,26-35 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,3,4,4,4,2,1,5,3,5,5,4,5
12/7/2021 19.32.11,36-45 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,2,4,5,5,5,5,5,5,5,4,4,3,3,4,3,5,3,4,4,3,3,3,5,5,5,5,5,5
12/7/2021 19.35.01,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,4,5,5,5,5,4,4,4,4,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,3,4,4,5,5
